Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.775,0.6530612244897959,0.5333333333333333,0.5871559633027523,0.8053571428571429
Decision Tree,0.62,0.38235294117647056,0.43333333333333335,0.40625,0.5666666666666667
Random Forest,0.765,0.6666666666666666,0.43333333333333335,0.5252525252525253,0.7726190476190475
XGBoost,0.73,0.5625,0.45,0.5,0.7744047619047618
